district,rmse,r_squared,best_params,differencing,tree_depth
AHMEDNAGAR,680.2197440378268,0.45214263860558856,"{'max_depth': 5, 'min_samples_split': 10}",0,5
AKOLA,274.38509029788366,0.6902425169753377,"{'max_depth': 5, 'min_samples_split': 10}",0,4
AMRAVATI,361.0572573512404,0.6884866920569984,"{'max_depth': 5, 'min_samples_split': 10}",0,5
AURANGABAD,511.050211648888,0.6033113242475325,"{'max_depth': 5, 'min_samples_split': 10}",0,3
BEED,945.7827171805591,0.7378132813052807,"{'max_depth': 5, 'min_samples_split': 10}",0,4
BHANDARA,345.2910672332997,0.5495714982562363,"{'max_depth': 5, 'min_samples_split': 10}",1,5
BULDHANA,452.72815122495376,0.6061489011825254,"{'max_depth': 5, 'min_samples_split': 10}",0,5
CHANDRAPUR,410.51276370737446,0.733261368402959,"{'max_depth': 5, 'min_samples_split': 10}",0,5
DHULE,418.6844482824268,0.583643093720138,"{'max_depth': 5, 'min_samples_split': 10}",0,5
GADCHIROLI,362.2355334054386,0.39901198568322094,"{'max_depth': 5, 'min_samples_split': 10}",1,4
GONDIA,132.22054940131247,0.736518114050347,"{'max_depth': 5, 'min_samples_split': 10}",0,4
HINGOLI,192.04657999856173,0.7101902690903839,"{'max_depth': 5, 'min_samples_split': 10}",0,5
JALGAON,573.2079778277131,0.5784785742591234,"{'max_depth': 5, 'min_samples_split': 10}",0,4
JALNA,294.4688407549821,0.5458643882527568,"{'max_depth': 5, 'min_samples_split': 10}",0,5
KOLHAPUR,515.6392278845098,0.6267212766553121,"{'max_depth': 5, 'min_samples_split': 10}",0,5
LATUR,400.625395810534,0.6143402954181909,"{'max_depth': 5, 'min_samples_split': 10}",0,4
MUMBAI,12610.88695588296,0.8583627478829261,"{'max_depth': 5, 'min_samples_split': 10}",1,5
NAGPUR,1244.4459481204347,0.5819075514840837,"{'max_depth': 5, 'min_samples_split': 10}",0,5
NANDED,497.7378658683441,0.7766105072468479,"{'max_depth': 5, 'min_samples_split': 10}",0,5
NANDURBAR,326.7102192874157,0.5709332405205506,"{'max_depth': 5, 'min_samples_split': 10}",0,5
NASHIK,917.8357490434889,0.5535731387168865,"{'max_depth': 5, 'min_samples_split': 10}",0,5
OSMANABAD,248.773279292202,0.5279592179073438,"{'max_depth': 5, 'min_samples_split': 10}",0,5
PALGHAR,494.6856368741274,0.8117511349044124,"{'max_depth': 5, 'min_samples_split': 10}",0,5
PARBHANI,365.9334275007994,0.5681648464879263,"{'max_depth': 5, 'min_samples_split': 10}",0,5
PUNE,1645.9651718378955,0.6925055251360839,"{'max_depth': 5, 'min_samples_split': 10}",0,5
RAIGAD,951.3750271926602,0.5292285477474981,"{'max_depth': 5, 'min_samples_split': 10}",1,5
RATNAGIRI,399.0193109284652,0.6977722127351578,"{'max_depth': 5, 'min_samples_split': 10}",0,5
SANGLI,449.51883553655625,0.6843780523767772,"{'max_depth': 5, 'min_samples_split': 10}",0,5
SATARA,406.9362571827768,0.6367932549969697,"{'max_depth': 5, 'min_samples_split': 10}",0,5
SINDHUDURG,128.74043156194782,0.4949824847312143,"{'max_depth': 5, 'min_samples_split': 10}",0,5
SOLAPUR,793.3558801217745,0.768036438126888,"{'max_depth': 5, 'min_samples_split': 10}",0,4
THANE,1307.5793634294887,0.5237765297333854,"{'max_depth': 5, 'min_samples_split': 10}",0,4
WARDHA,182.04438654345304,0.6209680380630757,"{'max_depth': 5, 'min_samples_split': 10}",0,4
WASHIM,159.90367229547996,0.7265549501055482,"{'max_depth': 5, 'min_samples_split': 10}",0,5
YAVATMAL,178.20091084461475,0.6843522124797836,"{'max_depth': 5, 'min_samples_split': 10}",0,5
MUMBAI SUBURBAN,1115.6903816820222,0.0,"{'max_depth': 5, 'min_samples_split': 10}",0,0
