district,rmse,r_squared,best_params,differencing,feature_importances
AHMEDNAGAR,496.0762949245923,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.13633046510648789, 0.13165612360027534, 0.24130974813076972, 0.1513256495072121, 0.12744806260959143, 0.2119299510456635]"
AKOLA,269.31914731617417,0.999999988842245,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.16588436823081273, 0.16041702258516133, 0.23772245723910815, 0.14238866856471483, 0.1362646152671997, 0.15732286811300328]"
AMRAVATI,391.6309269593524,0.9999990906983532,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.16742451456328158, 0.12012799349366717, 0.2611657929145211, 0.18265501981297338, 0.13107792840508337, 0.13754875081047357]"
AURANGABAD,426.670646267248,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.14946603134949366, 0.16717381693932631, 0.26399461928893225, 0.1562106779089478, 0.13900965306605048, 0.12414520144724961]"
BEED,312.03161527853763,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.14909001542343117, 0.07630011856294143, 0.08482896642466309, 0.09289818187375211, 0.2535922136985847, 0.34329050401662753]"
BHANDARA,315.8568908408785,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.1397109048857276, 0.24055738281229966, 0.14053850662289102, 0.10305535267138448, 0.2211865293125631, 0.15495132369513415]"
BULDHANA,364.1967086311706,0.9999997517790034,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.09751241928915527, 0.23759968966506528, 0.12320960844371648, 0.11427226888678053, 0.327389563594909, 0.10001645012037341]"
CHANDRAPUR,172.50853099677911,0.999999947914024,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1824343157931379, 0.08226184052150966, 0.09389177288295389, 0.3128922789239543, 0.1846250078042106, 0.14389478407423373]"
DHULE,366.73621660079704,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2833948824717405, 0.13524161219250186, 0.153946330432748, 0.13234601986287403, 0.11852526755036705, 0.1765458874897686]"
GADCHIROLI,264.42884772341563,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.16132567880497536, 0.12585516089940676, 0.17490481881183792, 0.10874242347052346, 0.23514734548244723, 0.19402457253080935]"
GONDIA,126.80300743454168,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.13436145017006462, 0.09129289779863665, 0.06157850613363625, 0.10041816228335804, 0.2071893429966732, 0.4051596406176313]"
HINGOLI,119.94231346596536,0.9999999698616763,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.10748022042300176, 0.1657605843209807, 0.14486244475349094, 0.3407838228069646, 0.14120432550182596, 0.099908602193736]"
JALGAON,716.7582591315802,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.21341833305218905, 0.1595325943116875, 0.1316705122290787, 0.12711506048063317, 0.15062834584253648, 0.21763515408387518]"
JALNA,228.0396573393419,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3265921479857657, 0.11340374818143806, 0.10404190568786803, 0.08217505168601962, 0.16730978094994098, 0.20647736550896773]"
KOLHAPUR,455.54542026869046,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2295504478705496, 0.19920957571050457, 0.16029127073771626, 0.14140076428564882, 0.10851003888667185, 0.1610379025089089]"
LATUR,351.953617090851,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.155571569212411, 0.31337475764842754, 0.09975368134716991, 0.08428427743242929, 0.12959525506744815, 0.217420459292114]"
MUMBAI,4413.428463592046,0.9999999940242054,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.20868871912935497, 0.09507339357321111, 0.32413401141926834, 0.07212324017379024, 0.09920115851564226, 0.2007794771887332]"
NAGPUR,1223.624118094823,0.9999995405142535,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2519192994096327, 0.12110696917999554, 0.17935617047179864, 0.1633270278889708, 0.1528934038340234, 0.13139712921557892]"
NANDED,484.62838019054465,0.9999999967719545,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.19969691207246873, 0.1453324618336286, 0.21080653676198788, 0.1669404718570046, 0.10715056460047806, 0.1700730528744322]"
NANDURBAR,155.18614583245932,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.24805119683714982, 0.07872754639769015, 0.09944664074417196, 0.07947468048718077, 0.19607488808097887, 0.2982250474528284]"
NASHIK,737.6916701930571,0.9999999859502309,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.35030783384036707, 0.10959084002606916, 0.09304487615759827, 0.09941641423388127, 0.18806594899352228, 0.15957408674856202]"
OSMANABAD,196.27124698148387,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1659957432177684, 0.06269160588735637, 0.09743086242552068, 0.110179066765997, 0.1647837435798037, 0.3989189781235539]"
PALGHAR,509.8789004753973,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3048312081238357, 0.19968934755674767, 0.11493889334505701, 0.09921235280918632, 0.09729472323413932, 0.18403347493103397]"
PARBHANI,317.07559777686384,0.999999998417661,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.18444370088141876, 0.10898064750704504, 0.1618655996666482, 0.1806687138392715, 0.11080270106376026, 0.2532386370418562]"
PUNE,1346.016375297657,0.9999998880264778,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.24075470558565495, 0.10199736725326301, 0.16881429645894858, 0.12107368086237358, 0.2149565355112895, 0.1524034143284705]"
RAIGAD,1047.2855532412245,0.9999998202329387,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.3503737040949078, 0.13488466262725457, 0.17195251401628775, 0.09368127305422093, 0.10481006209423666, 0.14429778411309235]"
RATNAGIRI,269.56782950266484,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.374140393823678, 0.11127240371571083, 0.11948673370760118, 0.12582481628397735, 0.12183442421842165, 0.1474412282506111]"
SANGLI,287.5088462407142,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.23454079025419924, 0.14251161524033673, 0.17389570497336612, 0.16890173359765498, 0.0912683868524033, 0.18888176908203977]"
SATARA,577.3111877969762,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2516815140413109, 0.2118485419070229, 0.07729118794535457, 0.08250065650975967, 0.142999851468985, 0.23367824812756702]"
SINDHUDURG,104.39338000509846,0.9999998403578437,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.12295693596814732, 0.21894631323305866, 0.15289471833005794, 0.13535001406622987, 0.14331649605837612, 0.22653552234413013]"
SOLAPUR,550.1530508387846,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3459283049297545, 0.1502104476822836, 0.13042170587863264, 0.14693388622540046, 0.12662245963306865, 0.0998831956508602]"
THANE,1520.2487497078469,0.9999994984367463,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.10590070069699031, 0.2380847363584974, 0.1701956021296481, 0.19882432457217003, 0.1409036433189749, 0.14609099292371935]"
WARDHA,197.90072561766925,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.23940283956107966, 0.1267609950773544, 0.17983686516512645, 0.14445251256953587, 0.15774728043133318, 0.15179950719557048]"
WASHIM,143.16486197203633,0.9999998842970934,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.12139257006287989, 0.15264441915663832, 0.19219060926625664, 0.31867731651016806, 0.11828831826839059, 0.09680676673566645]"
YAVATMAL,200.92978306726164,0.9999999687471827,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1352352996106605, 0.13591997998527391, 0.1531399790356401, 0.16392581377296805, 0.1499223281019712, 0.26185659949348616]"
MUMBAI SUBURBAN,114.78761807137568,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.15461326352184757, 0.15517454968673453, 0.13144050847507446, 0.02314276986065102, 0.06107473177455315, 0.47455417668113925]"
