district,rmse,best_order,stationary
AHMEDNAGAR,91.87561297095601,"(1, 0, 0)",True
AKOLA,73.87230112588175,"(0, 0, 0)",True
AMRAVATI,148.88626691531374,"(2, 0, 0)",False
AURANGABAD,175.5064157901063,"(1, 0, 0)",False
BEED,145.28046309190614,"(1, 0, 0)",True
BHANDARA,68.39639407931271,"(1, 0, 0)",True
BULDHANA,50.06642520557834,"(3, 0, 0)",True
CHANDRAPUR,86.71856151731846,"(1, 0, 0)",False
DHULE,148.57877955612506,"(0, 0, 1)",True
GADCHIROLI,47.93940688723379,"(5, 0, 0)",False
GONDIA,62.27070743839436,"(1, 0, 0)",False
HINGOLI,64.623679838433,"(0, 0, 1)",True
JALGAON,112.53666354623248,"(0, 1, 1)",True
JALNA,90.93680307679311,"(4, 0, 0)",True
KOLHAPUR,85.04245926137547,"(0, 0, 0)",True
LATUR,148.35674897923755,"(0, 0, 1)",True
MUMBAI,600.7796378526216,"(1, 0, 0)",False
NAGPUR,222.47076293192148,"(1, 0, 0)",True
NANDED,71.74756272794367,"(1, 0, 0)",True
NANDURBAR,92.5489031451727,"(1, 0, 0)",True
NASHIK,120.95029294614757,"(1, 0, 0)",True
OSMANABAD,38.18736854053116,"(0, 0, 1)",True
PALGHAR,130.03606199350168,"(1, 1, 0)",True
PARBHANI,82.09396934218537,"(1, 0, 0)",True
PUNE,399.7142023828156,"(1, 0, 0)",True
RAIGAD,84.23606189181747,"(0, 0, 2)",True
RATNAGIRI,70.60948944724073,"(0, 1, 0)",False
SANGLI,84.39372617274412,"(0, 1, 1)",True
SATARA,135.60816113318552,"(1, 0, 1)",True
SINDHUDURG,21.19072952773334,"(0, 0, 0)",True
SOLAPUR,100.72514411830277,"(1, 0, 0)",True
THANE,357.61848058753486,"(1, 0, 0)",False
WARDHA,52.214943352268925,"(1, 0, 0)",True
WASHIM,20.589640865673505,"(1, 0, 0)",True
YAVATMAL,45.941467681568184,"(1, 0, 0)",True
MUMBAI SUBURBAN,203.2118306818988,"(0, 0, 0)",True
