district,rmse,best_order,best_seasonal_order,stationary
AHMEDNAGAR,47.24146477255246,"(1, 0, 0)","(2, 0, 0, 12)",True
AKOLA,432.914887708889,"(0, 0, 0)","(0, 0, 0, 12)",True
AMRAVATI,153.26969599226317,"(2, 0, 0)","(1, 0, 0, 12)",False
AURANGABAD,274.6256593619583,"(1, 0, 0)","(0, 0, 0, 12)",False
BEED,269.82101421285245,"(1, 0, 0)","(0, 0, 0, 12)",True
BHANDARA,53.13460314404371,"(1, 0, 0)","(2, 0, 0, 12)",True
BULDHANA,64.16100446868283,"(3, 0, 0)","(1, 0, 0, 12)",True
CHANDRAPUR,252.33817381039725,"(1, 0, 0)","(0, 0, 0, 12)",False
DHULE,271.77911706134324,"(0, 0, 1)","(0, 0, 0, 12)",True
GADCHIROLI,43.41486553761673,"(0, 0, 0)","(1, 1, 0, 12)",False
GONDIA,66.50007417872364,"(1, 0, 0)","(1, 0, 1, 12)",False
HINGOLI,147.08072856311702,"(0, 0, 1)","(0, 0, 0, 12)",True
JALGAON,112.53666354121195,"(0, 1, 1)","(0, 0, 0, 12)",True
JALNA,251.5199793256989,"(0, 0, 0)","(0, 1, 0, 12)",True
KOLHAPUR,198.85209606840013,"(0, 0, 0)","(0, 0, 1, 12)",True
LATUR,402.31227633140975,"(0, 0, 1)","(0, 0, 0, 12)",True
MUMBAI,994.7275294099979,"(1, 0, 0)","(0, 1, 0, 12)",False
NAGPUR,155.59541222623582,"(1, 0, 0)","(1, 0, 0, 12)",True
NANDED,114.52783135464966,"(1, 0, 0)","(0, 0, 0, 12)",True
NANDURBAR,92.76820980157143,"(1, 0, 0)","(2, 0, 0, 12)",True
NASHIK,233.02442836028166,"(1, 0, 0)","(0, 0, 0, 12)",True
OSMANABAD,181.00690021930964,"(0, 0, 1)","(0, 0, 0, 12)",True
PALGHAR,130.03606199367226,"(1, 1, 0)","(0, 0, 0, 12)",True
PARBHANI,103.3664039566167,"(1, 0, 0)","(1, 0, 0, 12)",True
PUNE,194.98760310637996,"(1, 0, 0)","(0, 0, 0, 12)",True
RAIGAD,63.256899176963685,"(1, 0, 0)","(0, 0, 0, 12)",True
RATNAGIRI,70.60948944724073,"(0, 1, 0)","(0, 0, 0, 12)",False
SANGLI,84.39372617274412,"(0, 1, 1)","(0, 0, 0, 12)",True
SATARA,144.48130475986918,"(1, 0, 1)","(0, 0, 0, 12)",True
SINDHUDURG,113.54206269044084,"(0, 0, 0)","(0, 0, 0, 12)",True
SOLAPUR,76.45707245977587,"(0, 1, 1)","(0, 1, 0, 12)",True
THANE,147.5334858567144,"(1, 0, 0)","(0, 0, 1, 12)",False
WARDHA,83.51174740949077,"(1, 0, 0)","(0, 0, 1, 12)",True
WASHIM,50.21229888411031,"(1, 0, 0)","(0, 0, 0, 12)",True
YAVATMAL,60.60481590457947,"(1, 0, 0)","(0, 0, 0, 12)",True
