district,rmse,r_squared,params,differencing
AHMEDNAGAR,1097.847302551395,0.016062836928884883,"{'const': 4645.802543119852, 'lag_1': 0.05196919044673659, 'lag_2': 0.0280577508415899, 'lag_3': 0.09926510932895732}",0
AKOLA,493.7053534569037,0.2812452641596337,"{'const': 107.65066799576812, 'lag_1': -0.5185166853068978, 'lag_2': -0.5290039298881721, 'lag_3': -0.186704844231114}",1
AMRAVATI,584.960937029499,0.010930873262250174,"{'const': 37.12793964059826, 'lag_1': -0.1060353067687465, 'lag_2': 0.02730314766631893, 'lag_3': -0.011005808840696144}",1
AURANGABAD,925.2418572844425,0.20903523496134324,"{'const': -53.599505523727274, 'lag_1': -0.508549830714958, 'lag_2': -0.1905714133782545, 'lag_3': -0.01575312967241413}",1
BEED,398.2167915624927,0.15035657350325404,"{'const': 1260.2353003247908, 'lag_1': 0.3463744563959789, 'lag_2': -0.06998213816511262, 'lag_3': 0.15668074999663656}",0
BHANDARA,226.8844014833628,0.03464014332744325,"{'const': 17.53176553834882, 'lag_1': -0.07758577709246071, 'lag_2': -0.10837133118886938, 'lag_3': 0.12160494147398568}",1
BULDHANA,469.77888991494046,0.1651729511735709,"{'const': 9.845567294686253, 'lag_1': -0.3987801509033541, 'lag_2': -0.3259165060388587, 'lag_3': -0.14688166970757222}",1
CHANDRAPUR,310.7412413846429,0.47774052395231426,"{'const': 1056.1925620574834, 'lag_1': 0.6649342991417189, 'lag_2': 0.04104079499166424, 'lag_3': -0.3303306838676452}",0
DHULE,305.2171890303017,0.09247211696358237,"{'const': 1470.4428029639548, 'lag_1': 0.22698844482625438, 'lag_2': 0.05037043264545027, 'lag_3': -0.19669511526860392}",0
GADCHIROLI,165.82927127388672,0.39318525577792174,"{'const': 711.8855072454395, 'lag_1': 0.7620134465694574, 'lag_2': -0.3108360103159207, 'lag_3': 0.02791538866535559}",0
GONDIA,165.68734866107607,0.25884433132543005,"{'const': 546.7827179856665, 'lag_1': 0.5418619377798038, 'lag_2': -0.1752379772531698, 'lag_3': -0.06555075484760542}",0
HINGOLI,130.28813938419503,0.5899432076278686,"{'const': 282.6114736397335, 'lag_1': 0.8502517668870307, 'lag_2': -0.353525598864512, 'lag_3': 0.21486346580868865}",0
JALGAON,4310.924803354791,0.12673712800867254,"{'const': 130.94508715549594, 'lag_1': -0.35501922867557933, 'lag_2': -0.17169085324533648, 'lag_3': -0.1649259474536278}",1
JALNA,827.2901071061464,0.06756258297262507,"{'const': 33.85179401593975, 'lag_1': -0.22747067221789521, 'lag_2': -0.015666957301851768, 'lag_3': 0.11782689829504542}",1
KOLHAPUR,3326.514190767218,0.16902669266988257,"{'const': 256.66407769630854, 'lag_1': -0.09777204397961953, 'lag_2': -0.04719575480196836, 'lag_3': -1.2369379304404649}",1
LATUR,346.17258128341854,0.10577786062069927,"{'const': 51.79959136811628, 'lag_1': -0.11821218417128479, 'lag_2': 0.21866972406119645, 'lag_3': -0.11888499042010565}",1
MUMBAI,639.7530067430447,0.03543740728629652,"{'const': -83.65964020250209, 'lag_1': 0.06358115514366164, 'lag_2': 0.11213074656183994, 'lag_3': -0.22725323932244731}",1
NAGPUR,536.0481531777499,0.15118948689001976,"{'const': -64.01553946535685, 'lag_1': -0.39376476051231857, 'lag_2': -0.21494445571288542, 'lag_3': -0.16299065253172193}",1
NANDED,895.7467559944561,0.6611272176848834,"{'const': 756.8311477503861, 'lag_1': 0.7763400340469145, 'lag_2': 0.06576065280425558, 'lag_3': -0.05044759676790189}",0
NANDURBAR,451.1857027927189,0.06397944042903125,"{'const': 6.94778793216468, 'lag_1': -0.09795412549608276, 'lag_2': 0.029151251050519883, 'lag_3': 0.23661376231620945}",1
NASHIK,1476.508678964654,0.23119683422937698,"{'const': 173.63427110025938, 'lag_1': -0.25579531697370345, 'lag_2': -0.24105545069401388, 'lag_3': 0.2788652718702039}",1
OSMANABAD,295.22915268158596,0.15021233863471128,"{'const': 16.425714140379426, 'lag_1': 0.14925136014639856, 'lag_2': -0.1749542999498659, 'lag_3': -0.2809971691891493}",1
PALGHAR,491.7192731068981,0.011072013632760003,"{'const': -0.30491124515318546, 'lag_1': -0.07864574436605826, 'lag_2': 0.010698858603411743, 'lag_3': -0.06559507817412422}",1
PARBHANI,505.7402046684539,0.24897522376579584,"{'const': 832.5429514156174, 'lag_1': 0.4699296238937507, 'lag_2': 0.06277864694789723, 'lag_3': -0.2190036654970083}",0
PUNE,1222.750918121764,0.3922994288574857,"{'const': 2755.1541342948112, 'lag_1': 0.40178994598753726, 'lag_2': 0.28635459481734127, 'lag_3': 0.05076355869675386}",0
RAIGAD,1861.4151718266314,0.09384314650153913,"{'const': 29.674912400485642, 'lag_1': -0.29450103762482605, 'lag_2': -0.12857637555407367, 'lag_3': -0.00689747008535441}",1
RATNAGIRI,409.4675726406034,0.4317427989871545,"{'const': 281.14639890511745, 'lag_1': 0.44764840179274623, 'lag_2': 0.0021280640291684305, 'lag_3': 0.3066147178827787}",0
SANGLI,891.6514682751442,0.3386210713373726,"{'const': 1019.2473525813667, 'lag_1': 0.3253708356852464, 'lag_2': 0.3759682598284092, 'lag_3': -0.12950964763120146}",0
SATARA,690.9484804774349,0.26647646086024035,"{'const': 1.0549228889994708, 'lag_1': -0.1497864469889233, 'lag_2': 0.443036570551545, 'lag_3': -0.15520187509840455}",1
SINDHUDURG,56.01091758505352,0.1371474589924221,"{'const': -0.0888225940138021, 'lag_1': -0.28855605392661576, 'lag_2': 0.009587858450034903, 'lag_3': 0.24430123450129}",1
SOLAPUR,1504.6461764085968,0.11261832268241245,"{'const': 69.28741038592369, 'lag_1': -0.14530186093424535, 'lag_2': -0.23658723789636962, 'lag_3': -0.32428921980150627}",1
THANE,2419.483606987477,0.20540639204061673,"{'const': 78.43811154011797, 'lag_1': -0.5061247130305463, 'lag_2': -0.25867144641014805, 'lag_3': -0.18692769593689412}",1
WARDHA,253.98027064896056,0.14188641632185028,"{'const': 28.945312645971757, 'lag_1': -0.38755301651824337, 'lag_2': -0.25709635749761356, 'lag_3': -0.147632892664195}",1
WASHIM,84.06642451267398,0.27087877086707546,"{'const': 210.34879440175177, 'lag_1': 0.21906409634501955, 'lag_2': 0.2990081866908616, 'lag_3': 0.07246221442210327}",0
YAVATMAL,511.75924995807907,0.24758384767688735,"{'const': 1931.2432815255106, 'lag_1': 0.5148402342150842, 'lag_2': -0.12349055386630402, 'lag_3': -0.006085594516147645}",0
MUMBAI SUBURBAN,3662.684874124676,0.7854545929379094,"{'const': 704.0110694687002, 'lag_1': -0.4123180455047437, 'lag_2': -0.48459913672075833, 'lag_3': -1.0803484632764573}",1
