district,rmse,best_order,best_seasonal_order,stationary
AHMEDNAGAR,944.3750652671167,"(0, 1, 1)","(0, 0, 0, 12)",False
AKOLA,214.85925625860293,"(0, 1, 0)","(0, 0, 0, 12)",False
AMRAVATI,410.665688731376,"(2, 1, 1)","(0, 0, 0, 12)",True
AURANGABAD,1149.025137668319,"(1, 1, 0)","(0, 0, 0, 12)",False
BEED,701.1830003643842,"(0, 1, 0)","(0, 0, 0, 12)",False
BHANDARA,220.198092634791,"(0, 1, 0)","(0, 0, 0, 12)",False
BULDHANA,252.744098048827,"(0, 1, 1)","(0, 0, 0, 12)",False
CHANDRAPUR,538.0095724055475,"(0, 1, 0)","(0, 0, 0, 12)",False
DHULE,375.01135551059696,"(0, 1, 1)","(1, 0, 0, 12)",False
GADCHIROLI,177.76670602633038,"(1, 0, 0)","(1, 1, 0, 12)",False
GONDIA,1389.1856896330585,"(0, 0, 1)","(0, 0, 0, 12)",True
HINGOLI,97.0448349990869,"(0, 1, 0)","(0, 0, 0, 12)",False
JALGAON,660.905212568338,"(0, 1, 0)","(0, 0, 0, 12)",False
JALNA,1846.5552301128498,"(0, 0, 1)","(0, 0, 0, 12)",True
KOLHAPUR,369.75524579885723,"(0, 1, 1)","(0, 0, 0, 12)",False
LATUR,338.4231489632452,"(0, 1, 1)","(0, 0, 1, 12)",False
MUMBAI,1256.8893736751336,"(1, 0, 0)","(0, 0, 0, 12)",False
NAGPUR,1195.0397384401583,"(0, 1, 1)","(0, 0, 0, 12)",False
NANDED,352.9490048151432,"(0, 1, 0)","(0, 0, 0, 12)",True
