hmis_indicator,wka_indicator
1.1,I1
1.1.1,I2
1.2.1,I3
1.2.2,I4
1.2.3,I5
1.2.4,I6
1.2.5,I7
1.2.6,I8
1.2.7,I9
1.2.8,I10
1.3.1,I11
1.3.1.a,I12
1.3.2,I13
1.4.1,I14
1.4.2,I15
1.4.3,I16
1.4.4,I17
1.5.1,I18
1.5.2,I19
1.5.3,I20
1.6.1.a,I21
1.6.1.b,I22
1.6.2.a,I23
1.6.2.b,I24
1.6.2.c,I25
1.6.2.d,I26
1.6.2.e,I27
2.1.1.a,I28
2.1.1.b,I29
2.1.2,I30
2.1.3,I31
2.2,I32
2.2.1,I33
2.2.2,I34
3.1,I35
3.1.1,I36
4.1.1.a,I37
4.1.1.b,I38
4.1.2,I39
4.1.3,I40
4.2,I41
4.3.1.a,I42
4.3.1.b,I43
4.3.2.a,I44
4.3.2.b,I45
4.3.3,I46
4.4.1,I47
4.4.2,I48
4.4.3,I49
5.1,I50
5.2,I51
6.1,I52
6.2,I53
6.3,I54
6.4,I55
7.1.1,I56
7.1.2,I57
7.2.1,I58
7.2.2,I59
8.1.1,I60
8.2.1,I61
8.2.2,I62
8.2.3,I63
8.2.4,I64
8.3,I65
8.4,I66
8.5,I67
8.6,I68
8.7,I69
8.8,I70
8.9,I71
8.1,I72
8.11,I73
8.12,I74
8.13,I75
8.14,I76
8.15,I77
8.16,I78
8.17.1,I79
8.17.2,I80
8.17.3,I81
8.17.4,I82
8.17.5,I83
8.17.6,I84
9.1.1,I85
9.1.2,I86
9.1.3,I87
9.1.4,I88
9.1.5,I89
9.1.6,I90
9.1.7,I91
9.1.8,I92
9.1.9,I93
9.1.10,I94
9.1.11,I95
9.1.12,I96
9.1.13,I97
9.1.14,I98
9.1.15,I99
9.1.16,I100
9.1.17,I101
9.1.18,I102
9.1.19,I103
9.1.20,I104
9.1.21,I105
9.2.1,I106
9.2.2,I107
9.2.3,I108
9.2.4.a,I109
9.2.4.b,I110
9.3.1,I111
9.3.2,I112
9.3.3,I113
9.4.1,I114
9.4.2,I115
9.4.3,I116
9.4.4,I117
9.4.5,I118
9.4.6,I119
9.5.1,I120
9.5.2,I121
9.5.3,I122
9.5.4,I123
9.6.1,I124
9.6.2,I125
9.6.3,I126
9.7.1,I127
9.7.2,I128
9.7.3,I129
9.8.1,I130
9.8.2,I131
9.8.3,I132
9.9,I133
9.1,I134
9.11,I135
10.1,I136
10.2,I137
10.3,I138
10.4,I139
10.5,I140
10.6,I141
10.7,I142
10.8,I143
10.9,I144
10.1.m,I145
10.11,I146
10.12,I147
10.13,I148
10.14,I149
11.1.1.a,I150
11.1.1.b,I151
11.1.1.c,I152
11.1.2.a,I153
11.1.2.b,I154
11.1.2.c,I155
11.2.1,I156
11.2.2,I157
11.2.3,I158
11.3.1,I159
11.3.2,I160
11.4.1,I161
11.4.2,I162
12.1.1.a,I163
12.1.1.b,I164
12.1.2.a,I165
12.1.2.b,I166
12.1.3.a,I167
12.1.3.b,I168
13.1,I169
13.2,I170
14.1.1,I171
14.1.2,I172
14.1.3,I173
14.1.4,I174
14.1.5,I175
14.1.6,I176
14.1.7,I177
14.1.8,I178
14.1.9,I179
14.2.1,I180
14.2.2,I181
14.3.1.a,I182
14.3.1.b,I183
14.3.2.a,I184
14.3.2.b,I185
14.3.3,I186
14.4.1,I187
14.4.2,I188
14.4.3,I189
14.4.4,I190
14.4.5,I191
14.4.6,I192
14.4.7,I193
14.4.8,I194
14.5,I195
14.6.1,I196
14.6.2,I197
14.6.3,I198
14.6.4,I199
14.6.5,I200
14.6.7,I201
14.7,I202
14.8.1,I203
14.8.2,I204
14.8.3,I205
14.8.4,I206
14.8.5,I207
14.8.6,I208
14.8.7,I209
14.9.1,I210
14.9.2,I211
14.1,I212
14.11,I213
14.12.1,I214
14.12.2,I215
14.12.3,I216
14.12.4,I217
14.12.5,I218
14.13,I219
14.14.1,I220
14.14.2,I221
14.15,I222
14.16,I223
14.17,I224
14.18,I225
14.19,I226
14.2,I227
15.1,I228
15.2.1,I229
15.2.2,I230
15.3.1.a,I231
15.3.1.b,I232
15.3.2.a,I233
15.3.2.b,I234
15.3.3.a,I235
15.3.3.b,I236
15.3.3.c,I237
15.3.4.a,I238
15.3.4.b,I239
15.3.4.c,I240
15.3.4.d,I241
15.4.1,I242
15.4.2,I243
15.5.1,I244
15.5.2,I245
16.1,I246
16.2.1,I247
16.2.2,I248
16.2.3,I249
16.3.1,I250
16.3.2,I251
16.3.3,I252
16.3.4,I253
16.3.5,I254
16.4.1,I255
16.4.2,I256
16.4.3,I257
16.4.4,I258
16.4.5,I259
16.5.1,I260
16.5.2,I261
16.5.3,I262
16.5.4,I263
16.5.5,I264
16.5.6,I265
16.6,I266
16.7.1,I267
16.7.2,I268
16.7.3,I269
16.7.4,I270
16.7.5,I271
16.7.6,I272
16.7.7,I273
16.7.8,I274
16.7.9,I275
16.7.10,I276
16.7.11,I277
16.7.12,I278
16.7.13,I279
16.7.14,I280
16.8.1,I281
16.8.2,I282
16.8.3,I283
16.8.4,I284
16.8.5,I285
16.8.6,I286
